n, n * root(n), n * n, n * log(n) 
436000,0.0014822567673641528,3.8188215120930235E-4,0.07537224258456018
436250,0.0017110794922105405,3.691721865232892E-4,0.08702889828827241
436500,0.0014858482400642626,2.757952245392002E-4,0.07559150611420558
436750,0.001534012212048576,2.498699950292818E-4,0.07806071889100434
437000,0.001481637315158389,2.150379916997767E-4,0.07541378921046872
437250,0.00150260584659085,-2.082728277877535E-4,0.0764995704359888
437500,0.0014801693506198154,-2.2938733632381058E-4,0.07537552269112652
437750,0.0015013441890332046,-2.637785962708041E-4,0.07647229875428078
438000,0.0014795329053152021,-3.0001504272402245E-4,0.07537952484878112
438250,0.001506875592861416,-3.6116674488173486E-4,0.07679111895126178
438500,0.0015392370794075126,-4.508834612664584E-4,0.07845920175679576
438750,0.0015610721749627686,-5.876931183300318E-4,0.07959138530122936
439000,0.001511610606902738,-7.957601159701642E-4,0.07708815742007735
439250,0.0014882673017956555,-0.0013012146411904982,0.07591599166536224
439500,0.001509066121552845,-0.0038815017736844966,0.07699546298201426
439750,0.0014892618250720358,0.004076532057598791,0.0760032913830507
440000,0.001507625248194404,0.001347804501756477,0.07695895535212312
440250,0.0014878551771916942,7.952293120990164E-4,0.07596801574473358
440500,0.0015127892572502116,5.768455640904794E-4,0.0772596713359711
440750,0.001540756326467707,4.567622977352213E-4,0.07870686748065107
441000,0.0014873051295103562,3.6072895722076066E-4,0.07599463430184028
441250,0.001526985318318406,3.134175681985427E-4,0.0780408232886923
441500,0.0014865177767510902,2.644958244256241E-4,0.0759908245861807
441750,0.0016204713038064915,2.544912016532375E-4,0.08285837383674073
442000,0.0014984930535469733,2.10641456764437E-4,0.07663969151226081
442250,0.0015013027874087482,-2.226140102422289E-4,0.07680176483490904
442500,0.001484403233787824,-2.47945006094996E-4,0.07595539695989618
442750,0.0015619979061517858,-2.9863074212755123E-4,0.07994493848069283
443000,0.00147395468769387,-3.293682788560322E-4,0.07545679928917952
443250,0.0014952085077145332,-4.018824039186737E-4,0.07656312831800743
443500,0.0014833807633962634,-4.999967954190598E-4,0.07597560367749924
443750,0.0015007334697491848,-6.778691193249456E-4,0.07688270125975341
444000,0.001479050521045147,-0.0010117559203189704,0.07578994035179056
444250,0.0015004295491869522,-0.0021112646547513936,0.07690376436774281
444500,0.0014809726839443667,0.037338324152078065,0.07592458287539426
444750,0.0014804018232543869,0.0018759167999177534,0.07591337442973513
445000,0.0015431257352594347,0.0010034514805448177,0.07914860436907599
445250,0.0014805678826583244,6.477712436938686E-4,0.0759579920848964
445500,0.001501114107041241,4.949906625571781E-4,0.0770303738150194
445750,0.0017379540191126844,4.5992817978090134E-4,0.08920509737011532
446000,0.001496173221545175,3.307150650427865E-4,0.07681327822766623
446250,0.0014770028787685029,2.8034463510310457E-4,0.07584705821091621
446500,0.0014939590594771296,2.484894275246549E-4,0.07673597489249123
446750,0.0014695006318204817,2.1754360427048684E-4,0.07549756742847649
447000,0.0015290331495914917,-2.2242309526783027E-4,0.07857472841368886
447250,0.0014752615952640692,-2.410071007182667E-4,0.07582942689063565
447500,0.0014825437698960298,-2.7613640774434E-4,0.07622175667642171
447750,0.0014698539889852862,-3.183315518630914E-4,0.07558720054728742
448000,0.0014755937577349027,-3.8161634617252856E-4,0.07590029340793274
448250,0.0014908867417972851,-4.783299154672598E-4,0.07670502596879027
448500,0.001494933983125061,-6.313439933722688E-4,0.07693140251124572
448750,0.001470166240679641,-9.07680480664699E-4,0.07567466236365043
449000,0.0014438441084381555,-0.001655090986721964,0.07433728672282922
449250,0.0015189222576144307,-0.012067678842119183,0.0782211586568064
